Simulation  index	species per genus
Simulation 0 mu= -17sigma= 0.9
	Genus 0	Species 9	[71, 124, 142, 174, 207, 238, 245, 265, 298]
	Genus 1	Species 8	[0, 2, 55, 67, 128, 194, 209, 256]
	Genus 2	Species 6	[36, 88, 149, 168, 183, 247]
	Genus 3	Species 11	[22, 48, 72, 111, 182, 186, 191, 219, 230, 241, 266]
	Genus 4	Species 14	[63, 65, 68, 78, 107, 153, 173, 185, 188, 192, 195, 203, 226, 277]
	Genus 5	Species 12	[74, 86, 158, 178, 198, 214, 215, 221, 229, 234, 262, 291]
	Genus 6	Species 8	[45, 99, 162, 233, 239, 259, 264, 293]
	Genus 7	Species 145	[1, 4, 5, 6, 7, 10, 11, 13, 14, 15, 17, 18, 19, 23, 24, 25, 28, 31, 32, 33, 37, 40, 42, 47, 49, 50, 51, 52, 53, 54, 57, 59, 60, 61, 69, 70, 75, 76, 77, 79, 80, 83, 85, 89, 90, 91, 93, 94, 95, 97, 98, 100, 101, 102, 103, 105, 106, 108, 110, 113, 114, 115, 116, 117, 118, 119, 122, 125, 126, 129, 130, 134, 135, 136, 138, 140, 141, 143, 144, 146, 147, 148, 150, 152, 154, 155, 159, 161, 163, 164, 169, 177, 181, 184, 187, 189, 190, 193, 196, 197, 199, 201, 202, 204, 206, 208, 217, 218, 220, 223, 224, 225, 227, 228, 232, 235, 237, 240, 242, 243, 244, 246, 248, 250, 255, 258, 260, 261, 268, 269, 270, 271, 273, 274, 275, 276, 278, 280, 281, 283, 285, 288, 290, 294, 295]
	Genus 8	Species 6	[56, 87, 145, 176, 180, 282]
	Genus 9	Species 13	[30, 41, 84, 96, 151, 156, 160, 179, 200, 212, 253, 287, 299]
	Genus 10	Species 6	[20, 21, 26, 170, 251, 279]
	Genus 11	Species 22	[3, 12, 27, 29, 39, 66, 82, 92, 112, 123, 133, 157, 165, 167, 210, 211, 216, 254, 284, 286, 292, 297]
	Genus 12	Species 5	[104, 109, 131, 137, 289]
	Genus 13	Species 7	[9, 35, 44, 73, 121, 166, 231]
	Genus 14	Species 17	[16, 34, 38, 43, 46, 58, 64, 81, 127, 171, 172, 175, 213, 236, 252, 257, 267]
	Genus 15	Species 11	[8, 62, 120, 132, 139, 205, 222, 249, 263, 272, 296]
