Simulation  index	species per genus
Simulation 0 mu= -17sigma= 0.9
	Genus 0	Species 7	[4, 65, 149, 209, 225, 233, 271]
	Genus 1	Species 5	[29, 39, 79, 226, 270]
	Genus 2	Species 6	[2, 21, 155, 174, 215, 231]
	Genus 3	Species 5	[52, 110, 120, 251, 290]
	Genus 4	Species 7	[55, 63, 141, 202, 221, 274, 289]
	Genus 5	Species 15	[0, 20, 37, 97, 108, 134, 135, 162, 169, 180, 184, 254, 258, 264, 282]
	Genus 6	Species 17	[35, 66, 67, 73, 82, 90, 95, 103, 114, 119, 154, 168, 185, 208, 234, 239, 297]
	Genus 7	Species 21	[16, 27, 45, 49, 64, 71, 75, 105, 107, 109, 123, 124, 129, 140, 157, 186, 187, 188, 219, 235, 286]
	Genus 8	Species 11	[47, 58, 72, 96, 121, 128, 142, 171, 205, 224, 278]
	Genus 9	Species 11	[83, 86, 113, 163, 165, 195, 198, 199, 292, 293, 295]
	Genus 10	Species 16	[12, 25, 56, 115, 173, 192, 197, 227, 232, 246, 247, 256, 263, 268, 275, 280]
	Genus 11	Species 9	[18, 23, 102, 158, 161, 201, 212, 229, 236]
	Genus 12	Species 24	[7, 8, 9, 11, 34, 43, 44, 51, 69, 76, 77, 93, 106, 148, 181, 194, 203, 217, 220, 250, 252, 257, 266, 267]
	Genus 13	Species 7	[48, 53, 117, 127, 172, 230, 260]
	Genus 14	Species 127	[1, 3, 5, 6, 13, 14, 15, 17, 19, 24, 26, 28, 30, 31, 32, 33, 36, 40, 41, 42, 46, 50, 54, 57, 59, 62, 70, 74, 78, 80, 81, 84, 85, 87, 88, 89, 91, 92, 94, 98, 99, 100, 101, 104, 111, 112, 116, 118, 122, 125, 130, 131, 132, 133, 136, 137, 138, 139, 143, 144, 145, 146, 147, 150, 151, 153, 156, 159, 160, 164, 166, 167, 170, 175, 176, 177, 178, 179, 182, 183, 189, 190, 191, 196, 200, 204, 206, 207, 210, 211, 213, 214, 218, 222, 223, 228, 237, 238, 240, 241, 242, 243, 244, 245, 248, 249, 253, 255, 259, 261, 262, 265, 269, 272, 273, 276, 277, 279, 281, 284, 285, 287, 291, 294, 296, 298, 299]
	Genus 15	Species 12	[10, 22, 38, 60, 61, 68, 126, 152, 193, 216, 283, 288]
