Simulation  index	species per genus
Simulation 0 mu= -17sigma= 0.9
	Genus 0	Species 15	[11, 33, 77, 79, 89, 103, 115, 142, 148, 156, 158, 178, 252, 256, 285]
	Genus 1	Species 140	[1, 7, 8, 12, 13, 14, 16, 17, 18, 27, 30, 31, 34, 36, 39, 40, 41, 44, 45, 47, 52, 53, 55, 56, 57, 59, 60, 61, 62, 63, 64, 72, 73, 74, 76, 78, 80, 81, 83, 84, 87, 90, 91, 92, 96, 97, 99, 100, 101, 106, 107, 108, 109, 111, 112, 113, 116, 117, 118, 119, 121, 122, 124, 125, 126, 127, 128, 131, 132, 134, 138, 145, 146, 147, 149, 151, 159, 160, 166, 167, 169, 171, 175, 180, 181, 182, 185, 186, 187, 188, 189, 191, 194, 197, 198, 199, 200, 201, 204, 208, 209, 216, 218, 219, 220, 223, 224, 225, 226, 230, 231, 233, 234, 237, 238, 242, 245, 248, 250, 254, 257, 260, 262, 264, 265, 266, 270, 271, 274, 277, 278, 280, 281, 287, 291, 292, 293, 294, 298, 299]
	Genus 2	Species 9	[28, 67, 70, 98, 155, 162, 221, 273, 283]
	Genus 3	Species 10	[69, 102, 140, 163, 168, 172, 177, 255, 289, 290]
	Genus 4	Species 6	[6, 50, 135, 139, 206, 247]
	Genus 5	Species 8	[2, 3, 4, 22, 173, 183, 217, 236]
	Genus 6	Species 12	[0, 24, 49, 104, 152, 176, 184, 192, 205, 210, 215, 235]
	Genus 7	Species 9	[26, 42, 68, 114, 123, 153, 174, 269, 282]
	Genus 8	Species 6	[85, 94, 170, 243, 258, 259]
	Genus 9	Species 17	[5, 10, 29, 37, 38, 71, 93, 129, 196, 239, 240, 244, 251, 253, 272, 286, 296]
	Genus 10	Species 7	[23, 48, 95, 179, 203, 241, 295]
	Genus 11	Species 7	[19, 65, 105, 207, 249, 263, 297]
	Genus 12	Species 13	[43, 51, 54, 58, 88, 130, 137, 144, 161, 193, 214, 229, 267]
	Genus 13	Species 29	[9, 15, 20, 32, 46, 66, 75, 82, 86, 133, 136, 141, 143, 150, 154, 164, 190, 195, 202, 211, 212, 213, 222, 232, 246, 261, 276, 279, 284]
	Genus 14	Species 12	[21, 25, 35, 110, 120, 157, 165, 227, 228, 268, 275, 288]
